2G_1D2D_MEAN,2G_1D2D_SD,2G_1Dur_MEAN,2G_1Dur_SD,2G_1KeyLat_MEAN,2G_1KeyLat_SD,2G_2Dur_MEAN,2G_2Dur_SD,2G_Dur_MEAN,2G_Dur_SD,2G_NumEvents_MEAN,2G_NumEvents_SD,3G_1D2D_MEAN,3G_1D2D_SD,3G_1Dur_MEAN,3G_1Dur_SD,3G_1KeyLat_MEAN,3G_1KeyLat_SD,3G_2D2D_MEAN,3G_2D2D_SD,3G_2Dur_MEAN,3G_2Dur_SD,3G_2KeyLat_MEAN,3G_2KeyLat_SD,3G_3Dur_MEAN,3G_3Dur_SD,3G_Dur_MEAN,3G_Dur_SD,3G_NumEvents_MEAN,3G_NumEvents_SD,Mouse_Presses_Dur_MEAN,Mouse_Presses_Dur_SD,Mouse_Movement_Dur_MEAN,Mouse_Movement_Dur_SD,Mouse_Movement_X_MEAN,Mouse_Movement_X_SD,Mouse_Movement_Y_MEAN,Mouse_Movement_Y_SD,Attempts
217,235.8659,111.545456,139.4964,112.818184,221.42918,67.09091,9.99504,285.18182,234.88927,4.1363635,0.34317425,232,304.81378,86.833336,40.28682,174.16667,301.25742,205.27777,237.57286,71.05556,13.930274,208.44444,283.1127,67.55556,10.28063,504.83334,355.33728,6.2222223,0.4157397,4.3333335,1.2472191,3427.7273,5142.173,41.875,68.21644,16.171875,41.626167,16
2346,5035.0635,101.72727,29.391066,2250.2727,5036.0166,97.09091,16.983707,2443.0908,5031.8535,4.818182,1.7486713,966.2222,1549.0265,112.77778,48.878033,868.44446,1542.6586,341.77777,354.60205,102.22222,32.016586,732.2222,1048.0956,98.111115,18.369326,1406.1111,1589.1711,6.4444447,0.83147943,246.14285,389.04147,7052.96,25862.79,30.9927,45.76288,27.78832,56.598656,3
207.11111,79.29753,183.66667,116.97863,61.666668,86.61665,139.44444,31.030848,346.55554,95.663895,4,0,325.14285,160.55566,128.57143,32.64903,196.57143,152.79478,194.57143,82.4532,156.42857,66.90688,115.71429,136.7466,130,28.864214,649.7143,179.63193,6.142857,0.3499271,234.25,229.53255,631.5909,1099.2996,30.191668,59.807938,14.941667,29.10591,2
192.18182,119.389984,105.90909,76.80016,97.545456,127.56557,77.454544,9.930336,270.9091,121.728065,4.181818,0.38569462,235.44444,211.17822,112.44444,83.13057,152.44444,208.1154,193.55556,128.77985,81.888885,10.235498,137.11111,161.29576,76.111115,10.450353,505.1111,244.16545,6.2222223,0.41573972,144.25,9.601432,1749.8889,3315.1572,43.46875,79.04942,35.03125,71.68092,2
245.47368,280.22968,146.05263,141.01678,150.42105,268.37863,71.52631,15.652035,348.21054,291.81293,4.105263,0.30689222,296.81818,296.80444,83.63636,29.717682,301.27274,291.82312,220.45454,208.31985,74.181816,11.683851,186.27272,194.16399,72.72727,16.868965,590,394.6856,6.181818,0.38569462,93.111115,17.854002,1980.2,3582.4495,50.47761,93.699486,33.910446,59.488926,4
216.8,95.47021,97.6,6.590903,121.4,97.33365,93,7.3756356,309.8,91.66766,4.4,0.48989797,118,37.744755,116.333336,24.796953,141,121.03168,191.66667,94.67605,102,4.8989797,132.66667,125.71484,94.333336,2.3570225,404,96.52288,6.6666665,0.47140452,59,58,2610.6,4615.642,59.846153,85.31768,32.25641,48.972897,1
176.66667,159.07838,116.7619,81.65543,85.2381,159.60513,81.04762,22.380852,258.85715,157.4394,4.285714,0.45175397,218.125,183.62218,97.0625,21.483915,189.625,166.1595,148.875,70.020424,95.375,45.95089,189.4375,182.74536,76.5625,21.630327,443.5625,183.36845,6.4375,0.49607837,117,17.560286,1956.6,2151.5996,43.15306,53.333443,13.969388,17.839108,6
135.2,45.689823,127.4,66.52548,32.1,41.338722,76,14.127987,212,41.816265,4.1,0.3,144.16667,31.824606,115.833336,72.14896,63,42.825226,125.5,53.733135,83.666664,6.1282587,48.166668,42.61618,76.333336,16.699966,346,55.90468,6,0,67.75,14.497845,1549.5,1884.4894,43.058823,71.43485,22.852942,27.800901,1
203.66667,207.26236,120,61.54998,99.26667,199.76201,112,48.217564,315.66666,251.56303,4.3333335,0.78881073,124.545456,44.854034,94.63636,14.341755,54.636364,41.282337,205.09091,238.63644,99.545456,15.830716,137.36363,228.58746,116.27273,54.16824,445.9091,319.72418,6.4545455,0.8907235,147.78572,230.0423,839.275,1255.1399,39.594826,76.95415,18.073277,36.97679,3
388.66666,411.40558,128.25,91.69708,284.25,426.2405,85,14.854854,475.66666,409.82303,4.0833335,0.2763854,346.44446,316.2134,93.666664,40.425514,285.77777,308.38858,353,383.50345,107.22222,83.5155,291.1111,412.4096,86.888885,16.729511,787.1111,424.68692,6.111111,0.31426966,103.5,6.5,1080.75,2794.097,25.03077,49.924854,21.461538,42.337135,1
712.7,1411.1796,85.5,46.75949,635.8,1415.0409,69.6,15.173662,782.3,1408.5098,4.3,0.64031243,170.625,102.18114,88.625,51.86506,707,1539.7172,851.375,1546.9719,71.875,15.639993,804.625,1537.9934,70.875,16.631578,1092.875,1535.8667,6.25,0.4330127,88.3,16.9,1466.7354,2631.6401,26.077518,51.56415,18.945736,46.280956,2
699.4375,1489.5887,135.85417,113.69164,600.2083,1494.7125,174.5,310.2065,880.2708,1538.4589,4.5416665,1.7906965,2954.7058,14514.38,159.14706,160.64359,2880.7942,14512.916,521.05884,996.1762,99.588234,41.811283,2792.7646,13335.513,125.44118,184.48166,3605.2058,14485.614,6.7352943,2.2269585,201.28572,339.95956,2566.39,7276.8296,33.28102,63.459885,14.383212,27.866985,10
638.625,1162.2937,118.875,29.880753,536.375,1146.5,131.25,44.321976,769.875,1199.474,4.375,0.48412293,132.4,50.567184,122.2,35.056526,195.8,252.66373,248,253.23586,105,26.168684,182.8,238.80905,108,22.86482,488.4,215.78842,6.4,0.48989797,58,3,3201.6,5946.364,45.210526,63.32338,14.315789,17.271982,43
266.13043,204.32333,245.69565,191.96613,85.608696,209.34781,85.17391,23.99031,374.26086,212.75261,4.0869565,0.28177136,192.875,112.72692,116.375,95.211525,143.5,119.69336,157.125,107.876595,83.625,9.366663,131.125,157.01866,81.5,9.4604435,431.5,172.82144,6.25,0.4330127,234.75,272.9287,4083.785,17703.596,36.387096,81.54982,14.748357,38.290688,24
218.27272,59.79068,100.09091,90.756874,121.09091,58.794643,68.454544,16.255705,286.72726,59.384865,4.090909,0.2874798,240.88889,79.28352,113.77778,97.57137,157.22223,66.511116,206.55556,46.435406,73.22222,13.870654,164.33333,85.86035,64.55556,13.992943,512,110.41035,6.111111,0.31426966,316.33334,310.96875,923.1539,2221.2842,41.37838,66.17191,35.60811,51.7099,1
480.17545,1648.9749,128.17545,118.39129,399.7544,1655.5225,92.789474,36.888042,589.6667,1643.4774,4.1578946,0.3646422,643.7742,2194.3853,84.16129,27.556507,618.6774,2193.858,281.3871,282.3787,78.96774,16.687803,634.64514,2053.9092,78.16129,14.321419,1003.3226,2175.2056,6.225806,0.41811234,114.44444,72.076515,3918.6875,11494.492,23.022581,40.87608,17.745161,37.04275,6
396.85715,404.4507,141,39.27922,276.2857,363.29474,153.85715,49.863895,550.7143,393.8987,4.142857,0.3499271,224.5,60.59084,130.25,48.70511,430.25,513.19116,432,530.81256,151.75,39.864616,316,476.30243,174.5,39.073647,831,454.52448,6,0,357.57144,457.31464,2740.8125,4408.9985,18.514847,34.47167,18.297573,42.09945,3
397,788.4324,148.4,99.423546,300.5,789.48846,100.2,19.973984,510,791.2883,4.8,1.7776387,126.4,58.249805,106.4,35.88649,53.6,49.264996,137.4,57.119526,93.6,26.919138,74.2,58.286877,89,21.080797,352.8,89.8541,6.4,0.48989797,80.5,7.5,2080.2727,3743.144,19.083334,49.97542,5.5333333,11.999261,1
156.66667,118.11671,242.16667,178.14732,0,0,88.166664,7.9878383,279.66666,151.45479,4,0,185,0,84,0,101,0,47,0,65,0,148,0,86,0,318,0,7,0,59,13.44123,896.5714,2347.021,29.263159,44.70322,21.842106,36.657036,1
1221.2572,3364.1682,147.74286,158.14214,1107.2858,3361.333,109.8,14.4416065,1355.6,3362.8713,4.114286,0.39795387,996.10345,2860.592,110.82758,22.45005,891.4828,2859.7288,438.4138,1189.9292,133.86208,152.70656,524.68964,1222.4838,108.413795,15.221395,1566.2413,3036.22,6.37931,0.7617491,40.057144,24.382595,1880.4546,3075.7046,67.100914,124.25032,19.009174,37.27725,13
214.625,201.4615,97.875,23.31007,122,199.19275,99.875,22.646399,314.5,206.07098,4.25,0.4330127,170.83333,36.333714,99,22.927422,99.5,30.79908,135.33333,32.097076,100.666664,25.62334,137,100.978546,98.666664,25.675323,404.83334,25.347036,6.5,0.5,74.666664,18.272627,2189.9473,3072.3599,50.357143,77.69096,30.5,39.091377,5
1104.6,2520.1016,101.4,75.78153,1011.9,2529.0203,82,14.170392,1188.9,2518.9587,4.2,0.4,1297.75,2782.4097,108.875,82.95245,1251.5,2775.2263,269,150.96771,77.25,10.108784,388,400.08,84.375,14.308542,1651.125,2788.865,6.25,0.4330127,124,9.513149,2416.1,3112.9744,47.487804,65.51824,28.414635,41.459927,2
356.05405,471.9301,157.02702,85.58873,227.72974,463.52124,124,26.274025,490,482.3515,4.189189,0.39165875,531.4231,721.4474,149.15384,54.67716,421,702.7518,217.1923,120.64953,137.11539,57.663696,245.96153,301.4943,119.92308,26.209105,870.38464,742.4086,6.3076925,0.4615384,98.6,8.708616,3493.6086,6029.268,54.855854,125.419586,25.64865,37.49346,2
331.06668,593.35315,84.066666,41.163845,254.4,600.4128,73.8,16.232477,405.93332,593.86414,4.3333335,1.0110501,166.75,139.49918,77.333336,23.167267,103.333336,131.25313,186.66667,135.93585,77.916664,26.348492,126.083336,137.23973,74.416664,18.094465,427.83334,192.16956,6.0833335,0.2763854,4.5,1.5,5749.25,5667.2856,48.142857,83.14562,21.25,27.730366,1
474.9,847.71344,126.6,80.13638,383.7,849.4872,104.1,18.008053,604.8,841.2242,4.1,0.3,131.8,38.399998,95.4,7.9649234,58,30.172836,239.8,131.10362,103,6.6332498,165.6,156.45268,105.2,20.807692,476.8,157.24681,6.2,0.4,0.75,0.8291562,4053,4622.519,34.756096,92.08368,31.585365,70.67756,1
545.94446,818.1736,124.74074,198.2165,429.44446,814.63574,92.22222,19.544504,641.03705,825.4082,4.1666665,0.7136242,407.54544,496.91583,101.30303,34.60293,323.18182,476.82635,269.9091,312.70746,94.666664,21.558472,177.33333,313.644,88.393936,16.982948,765.8485,543.8113,6,0,111.166664,135.42372,5768.3335,26856.6,29.876057,52.05229,22.107042,41.738956,4
1560.8846,4245.2695,75.69231,29.979185,1486.7693,4238.075,71.15385,17.857756,1632.0385,4245.997,4.6923075,1.6117173,2676.2856,5540.3647,78.42857,18.588453,2618.5,5524.0513,1619.5,4410.517,70.57143,15.323717,1912.2858,4420.916,69.5,16.757729,4365.2856,6579.8276,7.5,2.4127638,214.5,365.81723,5312.508,10201.462,49.49206,86.90076,37.31349,57.413303,2
269.33334,498.01248,116.333336,83.37998,209.88889,497.94247,100.44444,71.34285,382.22223,494.62057,4.2222223,0.4157397,120.166664,29.350845,80,17.281975,66.833336,31.96048,386.66666,574.7172,71.833336,15.496417,336.16666,574.5539,71.833336,15.496416,578.6667,600.42053,6.1666665,0.372678,113.833336,13.6798725,1573.3572,3522.6936,17.571428,33.723595,12.964286,20.4083,1
451.42856,583.81793,197.28572,254.22585,275.7143,594.70056,78.42857,11.818353,536.7143,584.0195,4.285714,0.45175397,121.333336,48.09597,99.666664,33.189693,66.833336,43.971268,412,621.90704,94.333336,34.75949,352.33334,617.6603,78.333336,12.762794,611.6667,657.47205,6.3333335,0.4714045,106.666664,59.013184,2822.5557,4424.977,46.824562,63.370564,18.14035,52.077034,1
438,787.443,120.375,90.21078,341.375,784.0276,80.75,16.176758,529.375,788.3579,4.25,0.4330127,127.5,54.40818,83.833336,11.538583,77.166664,45.856358,539.5,884.8029,84.333336,12.270108,488.5,865.4185,84.833336,12.46885,751.8333,899.2848,6.3333335,0.47140452,130,110.25788,3744.7856,9013.204,41.083332,71.960014,29.154762,49.194824,1
446.81082,622.85095,131.48648,183.72226,320.6757,614.5903,93.5946,18.6728,540.62164,628.1572,4.108108,0.3105169,461.10345,669.86676,143.6207,205.9038,334.27585,659.50604,366.06897,553.5536,93.51724,18.134785,339.86206,619.62494,93.344826,20.269354,920.5172,814.9733,6.137931,0.34482756,149.25,54.264977,12252.053,31116.73,29.555555,50.266483,15.638889,25.985199,1
853.4,2059.4902,89.36667,39.0269,775.13336,2063.014,80.333336,19.97721,935.3333,2061.6873,4.3,0.64031243,503.6087,961.05725,107.13043,79.99256,526.6087,999.84924,422.73914,534.6636,83.521736,24.106411,394.34784,539.4296,78.695656,20.426826,1008.34784,1010.1034,6.347826,0.5601782,256.42856,517.89526,4225,10583.417,25.407408,49.90098,13.518518,25.622862,2
563.7059,847.73553,118.117645,46.902756,455.35294,850.3261,92.94118,29.169828,656.64703,838.854,4.2352943,0.4241825,159.875,52.460552,151.875,127.04865,67.875,45.605476,166,56.10704,102,21.702534,69.75,47.346462,102,35.42598,429.875,121.64234,6.25,0.4330127,92.666664,15.998611,2696.6042,4203.6914,27.131222,38.072052,9.633484,15.179666,10
